date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:44:43	93614/93614	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20Jul%202024%2007:00:47%20GMT	https://www.Paysusofi.com/	C:/Users/User/Desktop/STOP/www.Paysusofi.com/index.html	(from )
10:44:47	111/111	---M-Z	200	added ('OK')	text/plain	date:Thu,%2026%20Sep%202024%2009:44:46%20GMT	https://www.Paysusofi.com/robots.txt		(from )
10:44:48	281/281	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Sep%202024%2009:44:47%20GMT	https://Paysusofi.b-cdn.net/wp-content/cache/wpfc-minified/e5chh8ud/84xqv.css	C:/Users/User/Desktop/STOP/Paysusofi.b-cdn.net/wp-content/cache/wpfc-minified/e5chh8ud/84xqv.0.delayed	(from https://www.Paysusofi.com/)
10:44:50	119383/119383	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Jul%202024%2007:00:47%20GMT	https://www.Paysusofi.com/wp-content/cache/wpfc-minified/e5chh8ud/84xqv.css	C:/Users/User/Desktop/STOP/www.Paysusofi.com/wp-content/cache/wpfc-minified/e5chh8ud/84xqv.css	(from https://www.Paysusofi.com/)
10:44:50	281/281	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Sep%202024%2009:44:49%20GMT	https://Paysusofi.b-cdn.net/wp-content/cache/wpfc-minified/96pqkhnd/84xqv.css	C:/Users/User/Desktop/STOP/Paysusofi.b-cdn.net/wp-content/cache/wpfc-minified/96pqkhnd/84xqv.css	(from https://www.Paysusofi.com/)
10:44:51	18859/18859	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Jul%202024%2007:00:47%20GMT	https://www.Paysusofi.com/wp-content/cache/wpfc-minified/96pqkhnd/84xqv.css	C:/Users/User/Desktop/STOP/www.Paysusofi.com/wp-content/cache/wpfc-minified/96pqkhnd/84xqv.css	(from https://www.Paysusofi.com/)
10:44:51	281/281	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Sep%202024%2009:44:50%20GMT	https://Paysusofi.b-cdn.net/wp-content/cache/wpfc-minified/lykuyrd2/84xqv.css	C:/Users/User/Desktop/STOP/Paysusofi.b-cdn.net/wp-content/cache/wpfc-minified/lykuyrd2/84xqv.css	(from https://www.Paysusofi.com/)
10:44:52	29512/29512	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Jul%202024%2007:00:47%20GMT	https://www.Paysusofi.com/wp-content/cache/wpfc-minified/lykuyrd2/84xqv.css	C:/Users/User/Desktop/STOP/www.Paysusofi.com/wp-content/cache/wpfc-minified/lykuyrd2/84xqv.css	(from https://www.Paysusofi.com/)
10:44:52	281/281	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Sep%202024%2009:44:51%20GMT	https://Paysusofi.b-cdn.net/wp-content/cache/wpfc-minified/1n0qjno4/84xqv.css	C:/Users/User/Desktop/STOP/Paysusofi.b-cdn.net/wp-content/cache/wpfc-minified/1n0qjno4/84xqv.css	(from https://www.Paysusofi.com/)
10:44:52	14052/14052	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Jul%202024%2007:00:47%20GMT	https://www.Paysusofi.com/wp-content/cache/wpfc-minified/1n0qjno4/84xqv.css	C:/Users/User/Desktop/STOP/www.Paysusofi.com/wp-content/cache/wpfc-minified/1n0qjno4/84xqv.css	(from https://www.Paysusofi.com/)
10:44:53	1435/1435	---M--	200	added ('OK')	application/json	date:Thu,%2026%20Sep%202024%2009:44:52%20GMT	https://www.Paysusofi.com/wp-json/wp/v2/pages/21	C:/Users/User/Desktop/STOP/www.Paysusofi.com/wp-json/wp/v2/pages/21.json	(from https://www.Paysusofi.com/)
10:44:53	2017/2017	---M--	200	added ('OK')	application/json	date:Thu,%2026%20Sep%202024%2009:44:52%20GMT	https://www.Paysusofi.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.Paysusofi.com%2F	C:/Users/User/Desktop/STOP/www.Paysusofi.com/wp-json/oembed/1.0/embed9955.json	(from https://www.Paysusofi.com/)
10:44:54	2179/2179	---M-Z	200	added ('OK')	text/xml	date:Thu,%2026%20Sep%202024%2009:44:53%20GMT	https://www.Paysusofi.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.Paysusofi.com%2F&format=xml	C:/Users/User/Desktop/STOP/www.Paysusofi.com/wp-json/oembed/1.0/embed7fc9	(from https://www.Paysusofi.com/)
10:44:54	276/276	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Sep%202024%2009:44:53%20GMT	https://Paysusofi.b-cdn.net/wp-content/uploads/cropped-favicon-32x32.png	C:/Users/User/Desktop/STOP/Paysusofi.b-cdn.net/wp-content/uploads/cropped-favicon-32x32.png	(from https://www.Paysusofi.com/)
10:44:55	1044/1044	---M--	200	added ('OK')	image/png	date:Sun,%2025%20Feb%202024%2020:51:00%20GMT	https://www.Paysusofi.com/wp-content/uploads/cropped-favicon-32x32.png	C:/Users/User/Desktop/STOP/www.Paysusofi.com/wp-content/uploads/cropped-favicon-32x32.png	(from https://www.Paysusofi.com/)
10:44:55	278/278	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Sep%202024%2009:44:54%20GMT	https://Paysusofi.b-cdn.net/wp-content/uploads/cropped-favicon-192x192.png	C:/Users/User/Desktop/STOP/Paysusofi.b-cdn.net/wp-content/uploads/cropped-favicon-192x192.png	(from https://www.Paysusofi.com/)
10:44:55	7833/7833	---M--	200	added ('OK')	image/png	date:Sun,%2025%20Feb%202024%2020:51:00%20GMT	https://www.Paysusofi.com/wp-content/uploads/cropped-favicon-192x192.png	C:/Users/User/Desktop/STOP/www.Paysusofi.com/wp-content/uploads/cropped-favicon-192x192.png	(from https://www.Paysusofi.com/)
10:44:55	278/278	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Sep%202024%2009:44:55%20GMT	https://Paysusofi.b-cdn.net/wp-content/uploads/cropped-favicon-180x180.png	C:/Users/User/Desktop/STOP/Paysusofi.b-cdn.net/wp-content/uploads/cropped-favicon-180x180.png	(from https://www.Paysusofi.com/)
10:44:55	186372/186372	---MC-	200	added ('OK')	application/json	date:Thu,%2026%20Sep%202024%2009:44:53%20GMT	https://www.Paysusofi.com/wp-json/	C:/Users/User/Desktop/STOP/www.Paysusofi.com/wp-json/index.html	(from https://www.Paysusofi.com/)
10:44:56	7273/7273	---M--	200	added ('OK')	image/png	date:Sun,%2025%20Feb%202024%2020:51:00%20GMT	https://www.Paysusofi.com/wp-content/uploads/cropped-favicon-180x180.png	C:/Users/User/Desktop/STOP/www.Paysusofi.com/wp-content/uploads/cropped-favicon-180x180.png	(from https://www.Paysusofi.com/)
10:44:56	280/280	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Sep%202024%2009:44:55%20GMT	https://Paysusofi.b-cdn.net/wp-content/uploads/index-hero-image.4e3940b0.png	C:/Users/User/Desktop/STOP/Paysusofi.b-cdn.net/wp-content/uploads/index-hero-image.4e3940b0.png	(from https://www.Paysusofi.com/)
10:45:00	49593/49593	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20Jul%202024%2007:01:17%20GMT	https://www.Paysusofi.com/about-us/	C:/Users/User/Desktop/STOP/www.Paysusofi.com/about-us/index.html	(from https://www.Paysusofi.com/)
10:45:01	70386/70386	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20Jul%202024%2007:56:12%20GMT	https://www.Paysusofi.com/services/pay-bills/	C:/Users/User/Desktop/STOP/www.Paysusofi.com/services/pay-bills/index.html	(from https://www.Paysusofi.com/)
